,Name,Lat,Lon,Location_Key,Location_Type
0,BB--Big Beef Creek near Seabeck,47.655599,-122.78586200000001,BB,Discharge Station
1,BU--Upper Big Beef Creek near Camp Union,47.5931,-122.837,BU,Discharge Station
2,CC--Clear Creek Main Stem,47.661483000000004,-122.68204899999999,CC,Discharge Station
3,CCSW--Clear Main @ Silverdale Way,47.665075,-122.68253600000001,CC,Discharge Station
4,CT--Chico Trib. @ Taylor Road,47.586061,-122.716311,CT,Discharge Station
5,CU--Curley Creek,47.505354,-122.56726499999999,CU,Discharge Station
6,CW--Clear Creek-West Tributary,47.66992,-122.69150800000001,CW,Discharge Station
7,DC--Dogfish Creek,47.752384,-122.64491799999999,DC,Discharge Station
8,KC--Kitsap Creek @ Lake Outlet,47.579805,-122.71219599999999,KC,Discharge Station
9,OL--Olalla Creek,47.429221999999996,-122.567544,OL,Discharge Station
10,SL--Steele Creek,47.650490999999995,-122.632021,SL,Discharge Station
11,AC--Anderson Creek - Bremerton,47.523747,-122.682422,AC,Discharge Station
12,BA--Barker Creek,47.638989,-122.66689199999999,BA,Discharge Station
13,BC--Burley Creek,47.414426,-122.631395,BC,Discharge Station
14,BL--Blackjack Creek,47.502076,-122.647775,BL,Discharge Station
15,GO--Gold Creek,47.554961,-122.827203,GO,Discharge Station
16,HC--Hansville Creek,47.884512,-122.573691,HC,Discharge Station
17,WC--Wildcat Creek @ Lake Outlet,47.601172,-122.758669,WC,Discharge Station
18,AN--Anderson Creek - Holly,47.567091,-122.968115,AN,Discharge Station
19,CE--Clear Creek-East Tributary,47.6675,-122.6817,CE,Discharge Station
20,CH--Chico Creek-Mainstem,47.5933,-122.7075,CH,Discharge Station
21,DI--Dickerson Creek,47.58409,-122.71599199999999,DI,Discharge Station
22,DR--Dewatto River,47.4615,-123.0265,DR,Discharge Station
23,GA--Gamble Creek,47.7889,-122.5799,GA,Discharge Station
24,GC--Gorst Creek,47.526734000000005,-122.70545700000001,GC,Discharge Station
25,GV--Grovers Creek,47.780088,-122.556371,GV,Discharge Station
26,HE--Heins Creek,47.531089,-122.71566899999999,HE,Discharge Station
27,"IL--Illahee Creek, Upper North Fork",47.611257,-122.61174299999999,IL,Discharge Station
28,KL--Kitsap Lake @ Control,47.5797,-122.7103,KL,Discharge Station
29,LJ--Johnson Creek,47.733502,-122.662861,LJ,Discharge Station
30,LT--Little Tahuya,47.4380555556,-122.95027777799999,LT,Discharge Station
31,OC--Karcher Creek,47.5441,-122.6117,OC,Discharge Station
32,MZ--Manzanita Creek,47.674146,-122.553551,MZ,Discharge Station
33,PA--Parish Creek,47.529178,-122.713903,PA,Discharge Station
34,SC--Strawberry Creek,47.646689,-122.695846,SC,Discharge Station
35,SE--Seabeck Creek,47.634864,-122.836073,SE,Discharge Station
36,SH--Seabeck Creek off Seabeck Holly Hwy,47.628681,-122.83761100000001,SH,Discharge Station
37,ST--Stavis Creek,47.624441999999995,-122.874691,ST,Discharge Station
38,TR--Tahuya River @ Tahuya,47.4375,-122.9531,TR,Discharge Station
39,UR--Union River,47.4641,-122.83,UR,Discharge Station
