,Name,Lat,Lon,Location_Key,Location_Type
182,01--Kitsap PUD,47.755115,-122.667651,01,Rain Gauge
183,03--Indianola - Miller Bay,47.7563888888889,-122.549722222222,03,Rain Gauge
184,04--City of Poulsbo - Big Valley Well Site,47.77,-122.641666666667,04,Rain Gauge
185,05--Bloedel Reserve - Shop,47.6877777777778,-122.54,05,Rain Gauge
186,06--Bremerton National Airport-Old,47.49,-122.76,06,Rain Gauge
187,08--BWU - Olympus Drive,47.5913888888889,-122.617777777778,08,Rain Gauge
188,"09--BREMERTON, WASHINGTON",47.56,-122.64,09,Rain Gauge
189,10--Fish Pro - Burley,47.4436,-122.6281,10,Rain Gauge
190,12--Sakai Intermediate School,47.644444444444396,-122.52888888888901,12,Rain Gauge
191,13--Coulter Creek Hatchery,47.4075,-122.816944444444,13,Rain Gauge
192,15--Poulsbo - Private,47.7355555555556,-122.65805555555599,15,Rain Gauge
193,16--SWD - Dawn Park,47.6886111111111,-122.699166666667,16,Rain Gauge
194,18--BWU - Gorst @ Domsea,47.5298,-122.7108,18,Rain Gauge
195,22--Grovers Creek Hatchery,47.773333333333305,-122.556666666667,22,Rain Gauge
196,24--Hansville,47.884366,-122.57463999999999,24,Rain Gauge
197,25--Holly Beach Club,47.557777777777794,-122.9775,25,Rain Gauge
198,26--Illahee - Private,47.618333333333304,-122.6025,26,Rain Gauge
199,27--Port Orchard - Private,47.52722222222221,-122.621388888889,27,Rain Gauge
200,28---Port of Kingston - Port Office,47.787157,-122.506142,28,Rain Gauge
201,31--BWU - McKenna Falls,47.52722222222221,-122.78638888888901,31,Rain Gauge
202,32--Meadowmeer Golf Course,47.6669444444444,-122.54,32,Rain Gauge
203,34--Olalla - Private,47.432777777777794,-122.573055555556,34,Rain Gauge
204,35--Port Gamble,47.853344,-122.59465900000001,35,Rain Gauge
205,36--Poulsbo Public Works-Office,47.735638,-122.645844,36,Rain Gauge
206,37--Scenic Beach State Park @ Seabeck,47.644444444444396,-122.84305555555599,37,Rain Gauge
207,38--Seabeck - Private,47.6483,-122.8483,38,Rain Gauge
208,39--SWD - Wixon Site,47.6375,-122.725833333333,39,Rain Gauge
209,40--Stavis Bay - Private,47.6136111111111,-122.888333333333,40,Rain Gauge
210,41--Tracyton - Private,47.6394444444444,-122.674444444444,41,Rain Gauge
211,42--BWU - Twin Lakes @ Well #20,47.5216666666667,-122.759166666667,42,Rain Gauge
212,46--Hansville Road - Private,47.8136111111111,-122.539444444444,46,Rain Gauge
213,49--West Sound Utility District,47.5227777777778,-122.623055555556,49,Rain Gauge
214,50--WA Water Company - Purdy,47.3905555555556,-122.586388888889,50,Rain Gauge
215,51--SWD - Nels Nelson @ East End,47.6475,-122.65861111111099,51,Rain Gauge
216,52--SWD - Crista Camp @ Island Lake,47.6783333333333,-122.659722222222,52,Rain Gauge
217,53--Gala Pines Weather Station-Poulsbo (Click for real time data),47.7522222222222,-122.61111111111099,53,Rain Gauge
218,56--Indianola - Private,47.7652777777778,-122.53111111111099,56,Rain Gauge
219,59---Edgewater Industrial Park,47.801606,-122.654031,59,Rain Gauge
220,61--BA - SSWM (Bremerton National Airport),47.4919444444444,-122.765277777778,61,Rain Gauge
221,62--SW - SSWM (Silverdale-Wixon Site),47.65152,-122.694996,62,Rain Gauge
222,63--AP - SSWM (Airport Park),47.6058333333333,-122.76888888888901,63,Rain Gauge
223,64--Purdy - Private,47.4083333333333,-122.604166666667,64,Rain Gauge
224,65--Theler Center,47.4347222222,-122.839722222,65,Rain Gauge
225,66--Sunny Cove,47.4130555555556,-122.552222222222,66,Rain Gauge
226,67--Bridletree,47.613446,-122.819809,67,Rain Gauge
227,68--Hansville Road - Private,47.83256,-122.542906,68,Rain Gauge
228,70--Kitsap County Fairgrounds Pavilion - Bremerton,47.63232,-122.662885,70,Rain Gauge
229,71--Kitsap County Central Road Shed,47.587327,-122.720579,71,Rain Gauge
230,72--Kitsap County South Road Shed,47.494538,-122.62398400000001,72,Rain Gauge
231,74--Hansville Recycling and Garbage Facility,47.849703000000005,-122.547041,74,Rain Gauge
232,75--Suquamish Village,47.728311,-122.55981299999999,75,Rain Gauge
233,76--RAGF,47.84967,-122.54716,76,Rain Gauge
234,77--BWU – Oyster Bay ,47.563677,-122.67233700000001,77,Rain Gauge
235,78--South Bainbridge Island ,47.605667,-122.52363899999999,78,Rain Gauge
