,Location_Key,Location_Type,Depth,Diameter,Owner,Lat,Lon
0,AAA001,Well,746.0,16.0,KITSAP COUNTY P U D #1,47.700758333333305,-122.62743059999998
1,AAA002,Well,1032.0,20.0,KITSAP COUNTY P.U.D.,47.684675,-122.63379166666701
2,AAA005,Well,301.0,8.0,UW Real Estate Office,47.6442694444444,-122.78286388888901
3,AAA007,Well,157.0,6.0,HOLLY WATER SYSTEM INC,47.557627777777796,-122.978816666667
4,AAA008,Well,,6.0,HOLLY WATER SYSTEM,47.5555194444444,-122.9804
5,AAA011,Well,,,,47.7872111111111,-122.506125
6,AAA012,Well,805.0,10.0,KITSAP COUNTY PUD #1,47.7871527777778,-122.506144444444
7,AAA013,Well,335.0,16.0,KITSAP PUD NO. 1,47.7509083333333,-122.514427777778
8,AAA014,Well,338.0,12.0,KITSAP COUNTY PUD NO. 1,47.752141666666695,-122.541491666667
9,AAA015,Well,,,,47.8018083333333,-122.566238888889
10,AAA016,Well,129.0,8.0,SERENE DEVELOPMENT CO,47.8135833333333,-122.574888888889
11,AAA103,Well,185.0,16.0,KITSAP COUNTY PUD #1,47.8015888888889,-122.653991666667
12,AAA104,Well,687.0,8.0,P.U.D. NO. 1 OF KITSAP CO.,47.780147222222205,-122.67640555555599
13,AAA106,Well,,,,47.805525,-122.506841666667
14,AAA107,Well,487.0,8.0,PUBLIC UTILITY  DIST # 1 OF KITSAP,47.8023861111111,-122.495241666667
15,AAA108,Well,149.0,12.0,PORT BLAKELY TREE FARMS,47.616208333333304,-122.536066666667
16,AAA109,Well,958.0,8.0,PORT BLAKELY TREE FARMS,47.616138888888905,-122.53608888888901
17,AAA110,Well,402.0,8.0,KITSAP COUNTY PUD #1,47.646641666666696,-122.548947222222
18,AAA111,Well,1030.0,6.0,KITSAP COUNTY PUD #1,47.6405277777778,-122.575227777778
19,AAA113,Well,118.0,8.0,BOB RODAL,47.671227777777794,-122.54568055555599
20,AAA114,Well,115.0,8.0,BEN LORENZ & LOREA - LEE INC.,47.5962611111111,-122.84653888888901
21,AAA120,Well,138.0,6.0,WATAUGA BEACH,47.569025,-122.55858333333299
22,AAA227,Well,198.0,8.0,TALMO INC.,47.405002777777796,-122.569266666667
23,AAA230,Well,187.0,8.0,"HARBOR WATER COMPANY, INC.",47.44087777777779,-122.72108611111099
24,AAA231,Well,129.0,8.0,HANSVILLE WATER DISTRICT,47.884416666666695,-122.574575
25,AAA235,Well,470.0,12.0,KITSAP PUBLIC UTILITY DIST #1,47.638952777777796,-122.81430555555599
26,AAA236,Well,,,,47.440444444444395,-122.637786111111
27,AAA238,Well,,,,47.6137861111111,-122.503933333333
28,AAA304,Well,300.0,6.0,BRAD YOUNG,47.8833861111111,-122.54476388888901
29,AAA398,Well,108.0,6.0,JAMES V. NARDO,47.756169444444396,-122.67774722222201
30,AAA639,Well,109.0,6.0,MIKE BANIGAN,47.501475,-122.661655555556
31,AAA706,Well,138.6,2.0,KITSAP COUNTY PUD #1,47.8135833333333,-122.574522222222
32,AAA707,Well,809.0,16.0,KITSAP PUD NO. 1,47.7869555555556,-122.506091666667
33,AAA710,Well,330.0,22.0,KITSAP PUD NO. 1,47.7420361111111,-122.55473333333299
34,AAA711,Well,242.0,8.0,JOHN THOMAS,47.716938888888905,-122.567919444444
35,AAA713,Well,473.0,8.0,SUQUAMISH WELL NO. 2 (KPUD),47.7327416666667,-122.56698888888901
