Date,Time,AM-PM,Water Level +/- MSL,Well Elevation,Well Name,Location_Key
1975-07-14,12:00:00,AM,42.8,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1990-11-14,8:55:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-01-11,7:30:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-03-27,7:40:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-04-22,7:35:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-06-04,7:55:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-06-26,9:00:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-07-30,10:35:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-09-09,1:05:00,PM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-11-04,9:35:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-11-05,10:35:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1991-12-06,8:30:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1992-02-06,9:30:00,AM,37.47,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1992-03-18,11:15:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1992-04-15,11:25:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
1992-06-03,10:30:00,AM,35.16,13.0,AAA001  KPUD KEYPORT PRODUCTION WELL 1,AAA001
