,Date,Time,AM-PM,Water Level +/- MSL,Well Elevation,Well Name
0,7/14/1975,12:00:00,AM,42.8,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
1,11/14/1990,8:55:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
2,1/11/1991,7:30:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
3,3/27/1991,7:40:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
4,4/22/1991,7:35:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
5,6/4/1991,7:55:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
6,6/26/1991,9:00:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
7,7/30/1991,10:35:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
8,9/9/1991,1:05:00,PM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
9,11/4/1991,9:35:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
10,11/5/1991,10:35:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
11,12/6/1991,8:30:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
12,2/6/1992,9:30:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
13,3/18/1992,11:15:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
14,4/15/1992,11:25:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
15,6/3/1992,10:30:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
16,7/2/1992,10:25:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
17,8/11/1992,9:30:00,AM,32.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
18,1/21/1993,2:00:00,PM,32.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
19,2/2/1993,9:45:00,AM,25.92,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
20,2/4/1993,9:35:00,AM,30.54,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
